A,KDQ 595,AUTOMOVIL,VOLKSWAGEN ,GOL TREND 1.6,9BWAB05U8BT274063,2011
A 010,LGY 936,AUTOMOVIL,CHEVROLET,AVEO G3 LT 1.6N MT,,2012
A 016,MMB 876,AUTOMOVIL,RENAULT,KANGOO,,
EA 111,DUB 259,CAMIÓN REGADOR,FORD,CARGO 1416,,2001
EA 123,ERP 246,CAMIÓN,VOLKSWAGEN ,VW 13-180,,2004
EA 130,GZX 655,CAMIÓN EST. DE SERVICIO,FORD,C1517E,,2008
EA 131,HEW 651,CAMIÓN,CUMMINS,F-4000 D,,2008
EA 132,HEW 652,CAMIÓN c/ Hidro,CUMMINS,F-4000 D,,2008
EA 133,HEW 653,CAMIÓN c/ Hidro,CUMMINS,F-4000 D,,2008
EA 139,JDE 195,CAMIÓN,FORD,F-4000 D,,2010
EA 140,JDE 193,CAMIÓN c/ Hidro,FORD,F-4000 D,,2010
EA 141,JDE 192,CAMIÓN c/ Hidro,FORD,F-4000 D,,2010
EA 142,JDE 194,CAMIÓN,FORD,F-4000 D,,2010
EA 144,KDJ 830,CAMIÓN,SCANIA,P340 A4X2,,2011
EA 145,KDJ 840,CAMIÓN,SCANIA,P340 A4X2,,2011
EA 146,KDJ 841,CAMIÓN,SCANIA,P340 A4X2,,2011
EA 147,KDD 899,CAMIÓN,SCANIA,P340 A4X2,,2011
EA 148,KHF 091,CAMIÓN c/ Hidro,SCANIA,P340 A4X2,,2011
EA 149,KHF 092,CAMIÓN c/ Hidro,SCANIA,P340 A4X2,,2011
EA 150,KJK 795,CAMIÓN EST. DE SERVICIO,SCANIA,FORD CAM. CARGO 1517/48 E,,2011
EA 151,LMT 185,CAMIÓN,M.BENZ,LS-1634  ATROR,,2012
EA 152,LMT 186,CAMIÓN,M.BENZ,LS-1634  ATROR,,2012
EA 153,LMT 187,CAMIÓN,M.BENZ,LS-1634  ATROR,,2012
EA 154,LMT 188,CAMIÓN,M.BENZ,LS-1634  ATROR,,2012
EA 155,LMT 189,CAMIÓN,M.BENZ,LS-1634  ATROR,,2012
EA 156,LMT 190,CAMIÓN,M.BENZ,AXOR 2831 K,,2012
EA 157,LMT 191,CAMIÓN,M.BENZ,AXOR 2831 K,,2012
EA 158,LMT 192,CAMIÓN,M.BENZ,AXOR 2831 K,,2012
EA 159,LMT 193,CAMIÓN,M.BENZ,AXOR 2831 K,,2012
EA 160,LMT 213,CAMIÓN,M.BENZ,AXOR 2831 K,,2012
EA 161,LMT 195,CAMIÓN,M.BENZ,AXOR 2831 K,,2012
EA 162,LMT 196,CAMIÓN,M.BENZ,AXOR 2831 K,,2012
EA 163,LMT 197,CAMIÓN,M.BENZ,AXOR 2831 K,,2012
EA 164,LMT 198,CAMIÓN,M.BENZ,AXOR 2831 K,,2012
EA 165,LMT 199,CAMIÓN,M.BENZ,AXOR 2831 K,,2012
EA 168,LSP 449,CAMIÓN,SCANIA,SCANIA P 420 CA 6x4,,2012
EA 169,LUA 722,CAMIÓN,M.BENZ,ATEGO 1418,,2012
EA 170,LUA 726,CAMIÓN,M.BENZ,ATEGO 1418,,2012
